text,label
I am happy and calm. I don't know why.,0
I went for a walk. I don't know why.,1
Everything feels normal and fine. It's been this way.,0
I feel depressed and tired. It's been this way.,1
I went for a walk. I don't know why.,1
"I can't sleep, low mood and sad. I don't know why.",1
"I can't sleep, low mood and sad.",1
I did some chores today. It's been this way.,0
"I can't sleep, low mood and sad. I don't know why.",1
I did some chores today. I don't know why.,0
Everything feels normal and fine. I don't know why.,0
I went for a walk. It's been this way.,1
It was a normal day.,1
I feel depressed and tired. It's been this way.,1
I feel good today and relaxed.,0
I did some chores today.,0
"I can't sleep, low mood and sad. It's been this way.",1
I feel good today and relaxed. It's been this way.,0
I went for a walk. It's been this way.,1
I went for a walk. I don't know why.,0
"I can't sleep, low mood and sad. I don't know why.",1
It was a normal day. I don't know why.,0
I feel good today and relaxed. I don't know why.,0
I went for a walk.,0
I feel depressed and tired.,1
I went for a walk. It's been this way.,0
I feel depressed and tired. I don't know why.,1
It was a normal day.,1
I feel depressed and tired.,1
I feel depressed and tired.,1
"I can't sleep, low mood and sad. I don't know why.",1
I went for a walk. It's been this way.,1
Everything feels normal and fine. I don't know why.,0
I went for a walk.,1
I feel depressed and tired. I don't know why.,1
I went for a walk. I don't know why.,0
It was a normal day. It's been this way.,0
I feel depressed and tired. It's been this way.,1
It was a normal day. It's been this way.,1
It was a normal day.,0
I did some chores today. I don't know why.,1
I went for a walk. I don't know why.,0
I did some chores today. I don't know why.,1
I feel depressed and tired.,1
I feel depressed and tired. It's been this way.,1
I am happy and calm.,0
I did some chores today.,1
"I can't sleep, low mood and sad. I don't know why.",1
"I can't sleep, low mood and sad. I don't know why.",1
It was a normal day. I don't know why.,0
I feel good today and relaxed. I don't know why.,0
It was a normal day. It's been this way.,0
I feel good today and relaxed. It's been this way.,0
I feel good today and relaxed. It's been this way.,0
Everything feels normal and fine.,0
I went for a walk. I don't know why.,0
"I can't sleep, low mood and sad. I don't know why.",1
It was a normal day. It's been this way.,1
I feel good today and relaxed.,0
It was a normal day. It's been this way.,0
I feel depressed and tired. It's been this way.,1
I feel depressed and tired.,1
It was a normal day. It's been this way.,0
I did some chores today.,0
It was a normal day.,1
Everything feels normal and fine. It's been this way.,0
I did some chores today. I don't know why.,0
I did some chores today. I don't know why.,0
I did some chores today. It's been this way.,1
It was a normal day. It's been this way.,1
It was a normal day. I don't know why.,1
I feel depressed and tired. I don't know why.,1
I did some chores today.,0
I did some chores today. It's been this way.,0
It was a normal day.,0
I did some chores today. I don't know why.,1
I'm anxious and stressed all day. It's been this way.,1
I feel good today and relaxed. I don't know why.,0
I did some chores today. It's been this way.,0
I'm anxious and stressed all day. I don't know why.,1
Everything feels normal and fine. I don't know why.,0
I am happy and calm. I don't know why.,0
I did some chores today. I don't know why.,1
I did some chores today. I don't know why.,1
I feel good today and relaxed. I don't know why.,0
Everything feels normal and fine. It's been this way.,0
I went for a walk. I don't know why.,1
I went for a walk. I don't know why.,1
I went for a walk.,0
I feel good today and relaxed. It's been this way.,0
I did some chores today.,0
I did some chores today. I don't know why.,0
I'm anxious and stressed all day. I don't know why.,1
It was a normal day. It's been this way.,1
It was a normal day. I don't know why.,1
I feel good today and relaxed.,0
It was a normal day. It's been this way.,1
It was a normal day.,0
Everything feels normal and fine. It's been this way.,0
I am happy and calm.,0
I went for a walk.,0
"I can't sleep, low mood and sad. It's been this way.",1
It was a normal day. It's been this way.,0
I went for a walk. It's been this way.,1
I went for a walk.,0
I did some chores today.,0
I went for a walk. I don't know why.,1
I feel depressed and tired.,1
It was a normal day. I don't know why.,0
I did some chores today.,1
Everything feels normal and fine. It's been this way.,0
I feel good today and relaxed.,0
I'm anxious and stressed all day.,1
I went for a walk. It's been this way.,0
I went for a walk. It's been this way.,0
I did some chores today.,0
I went for a walk. It's been this way.,1
I did some chores today. It's been this way.,1
I did some chores today.,1
I did some chores today.,0
I feel depressed and tired. It's been this way.,1
I went for a walk. I don't know why.,0
I went for a walk. I don't know why.,0
I went for a walk. It's been this way.,1
I'm anxious and stressed all day.,1
It was a normal day. It's been this way.,0
I'm anxious and stressed all day. I don't know why.,1
I did some chores today. It's been this way.,0
I did some chores today. I don't know why.,0
I feel depressed and tired.,1
I did some chores today.,0
I feel good today and relaxed. It's been this way.,0
It was a normal day.,0
I feel good today and relaxed. I don't know why.,0
It was a normal day. I don't know why.,0
I did some chores today.,0
I did some chores today.,1
I am happy and calm.,0
I did some chores today. I don't know why.,0
I'm anxious and stressed all day.,1
It was a normal day.,0
I did some chores today. I don't know why.,1
I went for a walk. It's been this way.,0
I'm anxious and stressed all day. It's been this way.,1
I did some chores today.,0
I feel depressed and tired. It's been this way.,1
"I can't sleep, low mood and sad.",1
I am happy and calm. I don't know why.,0
I am happy and calm.,0
I feel depressed and tired. It's been this way.,1
I went for a walk.,0
I went for a walk. I don't know why.,1
I did some chores today. It's been this way.,0
I'm anxious and stressed all day. It's been this way.,1
It was a normal day. It's been this way.,1
It was a normal day. I don't know why.,1
I went for a walk. I don't know why.,0
I am happy and calm. I don't know why.,0
I did some chores today.,0
Everything feels normal and fine. It's been this way.,0
It was a normal day. I don't know why.,1
I am happy and calm.,0
It was a normal day. I don't know why.,1
I did some chores today. I don't know why.,1
It was a normal day. I don't know why.,1
I am happy and calm.,0
I did some chores today.,1
I am happy and calm. It's been this way.,0
I did some chores today. It's been this way.,0
I did some chores today.,1
I feel good today and relaxed. I don't know why.,0
It was a normal day.,1
It was a normal day.,0
I went for a walk. I don't know why.,1
I did some chores today. I don't know why.,1
"I can't sleep, low mood and sad. I don't know why.",1
It was a normal day. I don't know why.,0
I am happy and calm. I don't know why.,0
I did some chores today. I don't know why.,1
I did some chores today. It's been this way.,0
I feel good today and relaxed. It's been this way.,0
I feel depressed and tired. It's been this way.,1
I went for a walk. I don't know why.,0
I did some chores today. I don't know why.,0
